City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Arraial do Cabo,-22.9661,-42.0278,75.16,83,75,13.8,BR,1666472260
Half Moon Bay,37.4636,-122.4286,72.41,61,0,14.97,US,1666472260
Mar del Plata,-38.0023,-57.5575,51.94,62,40,12.66,AR,1666471988
Qaqortoq,60.7167,-46.0333,36.18,89,100,6.44,GL,1666472261
Abalak,58.1286,68.5944,28.31,86,89,8.37,RU,1666472261
Qaanaaq,77.484,-69.3632,20.14,79,100,5.88,GL,1666472262
Deputatsky,69.3,139.9,-1.82,95,98,5.46,RU,1666472262
Champerico,14.3,-91.9167,83.7,74,38,6.11,GT,1666472262
Northam,51.0333,-4.2167,59.4,96,100,11.23,GB,1666472263
Severo-Kuril'sk,50.6789,156.125,39.06,75,90,3.69,RU,1666472006
Busselton,-33.65,115.3333,54.23,85,36,5.14,AU,1666472263
Ilulissat,69.2167,-51.1,33.62,93,97,9.26,GL,1666472263
Punta Arenas,-53.15,-70.9167,46.51,81,100,9.22,CL,1666471997
Barrow,71.2906,-156.7887,24.4,89,37,17.11,US,1666472262
Faanui,-16.4833,-151.75,79.68,73,27,16.26,PF,1666472265
Khatanga,71.9667,102.5,26.29,83,100,17.09,RU,1666472170
Terra Santa,-2.1042,-56.4869,88.92,52,100,2.37,BR,1666472265
Manggar,-2.8833,108.2667,78.26,87,82,4.14,ID,1666472266
Desaguadero,-16.5656,-69.0417,59.41,30,53,15.01,PE,1666472266
Buta,2.7858,24.73,70.36,95,92,1.99,CD,1666472267
Souillac,-20.5167,57.5167,73.78,78,40,10.36,MU,1666472260
Nikolskoye,59.7035,30.7861,42.69,89,27,6.24,RU,1666472267
Nichinan,31.6,131.3667,67.06,82,3,3.62,JP,1666472268
Rikitea,-23.1203,-134.9692,71.42,82,88,22.08,PF,1666472268
Yellowknife,62.456,-114.3525,28.92,59,40,10.36,CA,1666472268
Haines Junction,60.7522,-137.5108,37.35,70,73,1.14,CA,1666472269
Pangnirtung,66.1451,-65.7125,30.69,93,100,9.37,CA,1666472269
Longyearbyen,78.2186,15.6401,21.04,58,20,4.61,SJ,1666472269
Mackay,-21.15,149.2,73.69,82,15,4.29,AU,1666472270
Anadyr,64.75,177.4833,27.1,86,100,11.18,RU,1666472271
Los Arabos,22.7281,-80.7214,80.71,59,44,10.63,CU,1666472271
Bongandanga,1.5,21.05,71.11,91,93,1.3,CD,1666472271
Bathsheba,13.2167,-59.5167,84.81,74,40,13.8,BB,1666472272
Iqaluit,63.7506,-68.5145,32.7,100,100,10.0,CA,1666472272
Ushuaia,-54.8,-68.3,47.86,66,75,5.75,AR,1666472273
Salalah,17.0151,54.0924,78.26,71,1,1.41,OM,1666472273
Kavieng,-2.5744,150.7967,82.31,65,54,4.27,PG,1666472273
Bandarbeyla,9.4942,50.8122,77.94,85,16,2.62,SO,1666472274
Palmer,42.1584,-72.3287,65.95,33,12,3.51,US,1666472274
Carnarvon,-24.8667,113.6333,66.74,82,0,10.33,AU,1666472274
Husavik,66.0449,-17.3389,28.63,75,48,11.95,IS,1666472238
Oranjemund,-28.55,16.4333,58.41,91,4,4.61,NA,1666471994
Rundu,-17.9333,19.7667,82.11,26,69,5.08,NA,1666472275
Avarua,-21.2078,-159.775,80.65,83,20,5.75,CK,1666472275
Lagoa,39.05,-27.9833,65.05,67,81,22.82,PT,1666472276
Yar-Sale,66.8333,70.8333,27.77,80,59,13.24,RU,1666472276
Ponta do Sol,32.6667,-17.1,70.72,83,100,8.63,PT,1666472161
Zhigansk,66.7697,123.3711,15.19,96,100,6.31,RU,1666472277
Batagay-Alyta,67.8006,130.4114,2.75,90,57,4.63,RU,1666472277
Oktyabr'skiy,54.4815,53.471,29.1,75,82,5.19,RU,1666472278
Kysyl-Syr,63.8986,122.7617,13.68,99,99,2.44,RU,1666472278
Hithadhoo,-0.6,73.0833,81.59,73,61,8.43,MV,1666472278
Tiksi,71.6872,128.8694,15.85,94,100,5.97,RU,1666472279
Mopti,14.6667,-4.0,82.44,74,0,2.3,ML,1666472279
Cherskiy,68.75,161.3,12.02,96,100,8.03,RU,1666472279
Hamilton,39.1834,-84.5333,78.76,45,36,5.01,US,1666472225
Tateyama,34.9833,139.8667,71.26,74,8,16.67,JP,1666472251
Tura,25.5198,90.2201,69.8,71,81,5.44,IN,1666472280
Sæby,57.3319,10.5225,53.96,91,100,7.85,DK,1666472280
Sargatskoye,55.6101,73.4972,31.64,91,100,17.72,RU,1666472281
Nago,26.5881,127.9761,77.45,89,3,5.23,JP,1666472281
Bagotville,-28.9833,153.4167,65.86,99,100,12.39,AU,1666472281
Mūlki,13.1,74.8,78.08,88,20,3.44,IN,1666472282
Hambantota,6.1241,81.1185,77.49,85,99,10.0,LK,1666472282
Karratha,-20.7377,116.8463,70.83,59,1,13.15,AU,1666472070
Shahr-e Kord,32.3256,50.8644,46.17,29,0,2.3,IR,1666472283
Castro,-24.7911,-50.0119,66.88,73,3,3.22,BR,1666472283
Härnösand,62.6323,17.9379,36.0,75,99,10.67,SE,1666472283
Laguna,38.421,-121.4238,75.18,31,40,5.01,US,1666472284
Hervey Bay,-25.2986,152.8535,67.01,96,83,14.0,AU,1666472284
Kununurra,-15.7667,128.7333,85.48,47,21,5.93,AU,1666472166
Port Elizabeth,-33.918,25.5701,66.09,96,40,10.36,ZA,1666472076
Burnie,-41.0667,145.9167,53.94,98,100,12.86,AU,1666472285
Bambous Virieux,-20.3428,57.7575,73.65,78,40,10.36,MU,1666472163
Bredasdorp,-34.5322,20.0403,61.38,93,13,11.41,ZA,1666472285
Vila,42.0304,-8.1588,47.28,94,99,10.65,PT,1666472286
Mitsamiouli,-11.3847,43.2844,75.96,80,12,8.01,KM,1666472286
Yenagoa,4.9247,6.2642,76.62,93,94,4.16,NG,1666472287
Biak,-0.9131,122.8766,76.59,81,98,3.0,ID,1666472287
Cockburn Town,21.4612,-71.1419,82.74,73,53,12.71,TC,1666472159
Hilo,19.7297,-155.09,83.25,74,75,8.05,US,1666472288
Atar,20.5169,-13.0499,88.38,12,2,10.42,MR,1666472288
Port Hawkesbury,45.6169,-61.3485,60.58,69,0,9.22,CA,1666472289
Constitución,-35.3333,-72.4167,58.1,66,50,10.29,CL,1666472056
Kaitangata,-46.2817,169.8464,55.62,58,20,5.01,NZ,1666472289
Lebu,-37.6167,-73.65,54.28,70,100,9.86,CL,1666472290
Port Shepstone,-30.7414,30.455,66.83,70,99,1.54,ZA,1666472290
Margate,51.3813,1.3862,61.9,92,100,3.0,GB,1666472290
Saint-Philippe,-21.3585,55.7679,71.19,84,100,10.69,RE,1666472291
Lompoc,34.6391,-120.4579,73.02,67,75,14.97,US,1666472291
Demba,-5.51,22.2667,68.45,83,83,0.56,CD,1666472292
Mangai,-4.05,19.5333,69.39,86,100,1.12,CD,1666472292
Litovko,49.2361,135.1742,33.22,96,100,1.36,RU,1666472293
Saldanha,-33.0117,17.9442,62.65,85,32,13.73,ZA,1666472293
Nuuk,64.1835,-51.7216,40.87,78,100,31.0,GL,1666472164
Yerbogachën,61.2767,108.0108,30.83,87,100,10.42,RU,1666472294
Faya,18.3851,42.4509,63.12,21,8,4.83,SA,1666472294
Scottsbluff,41.8666,-103.6672,80.78,12,12,14.0,US,1666472172
Lavrentiya,65.5833,-171.0,32.77,91,50,2.91,RU,1666472064
Fairbanks,64.8378,-147.7164,33.1,97,100,4.61,US,1666472169
Kirakira,-10.4544,161.9205,79.43,80,100,5.19,SB,1666472295
Tual,-5.6667,132.75,82.98,77,100,7.61,ID,1666472296
Sola,-13.8833,167.55,77.67,94,98,20.04,VU,1666472296
Pelym,61.0108,61.9978,29.55,77,11,9.35,RU,1666472296
Guerrero Negro,27.9769,-114.0611,75.79,56,33,11.97,MX,1666472297
Morgan City,29.6994,-91.2068,81.0,48,38,12.53,US,1666472297
Grand Gaube,-20.0064,57.6608,73.8,72,25,5.01,MU,1666472298
Batticaloa,7.7102,81.6924,78.12,84,100,9.06,LK,1666472298
George Town,5.4112,100.3354,80.53,89,20,5.75,MY,1666472043
Minsk,53.9,27.5667,38.95,90,100,5.68,BY,1666472299
Mogzon,51.7435,111.9606,21.76,95,8,2.86,RU,1666472300
Inuvik,68.3499,-133.7218,16.81,85,40,5.75,CA,1666472300
Cape Town,-33.9258,18.4232,68.38,73,0,14.97,ZA,1666472301
Nazarovo,56.0064,90.3914,46.63,73,100,8.01,RU,1666472301
Hasaki,35.7333,140.8333,55.8,69,28,7.18,JP,1666472301
Mount Gambier,-37.8333,140.7667,55.31,94,100,12.66,AU,1666472302
Grajaú,-5.8194,-46.1386,86.27,50,90,3.96,BR,1666472302
Ibipeba,-11.6408,-42.0111,80.1,49,100,7.56,BR,1666472303
Chimoio,-19.1164,33.4833,71.46,94,0,3.87,MZ,1666472303
Krasnosel'kup,65.7,82.4667,28.11,96,99,16.35,RU,1666472304
Atuona,-9.8,-139.0333,76.8,65,47,17.09,PF,1666472167
Olafsvik,64.8945,-23.7142,40.86,74,100,7.94,IS,1666472304
Geraldton,-28.7667,114.6,60.85,85,0,3.96,AU,1666472305
Bantou,26.2151,117.4893,63.81,63,0,1.79,CN,1666472305
Belém,-1.4558,-48.5044,82.44,74,20,2.3,BR,1666472306
Montepuez,-13.1256,38.9997,69.3,74,6,7.45,MZ,1666472306
Quijingue,-10.7525,-39.2092,85.21,38,44,11.95,BR,1666472306
Okha,53.5739,142.9478,28.87,69,67,3.38,RU,1666472307
São Filipe,14.8961,-24.4956,79.93,72,4,7.45,CV,1666472079
Sur,22.5667,59.5289,76.33,73,0,5.17,OM,1666472307
Chui,-33.6971,-53.4616,59.68,93,90,6.67,UY,1666472308
Dikson,73.5069,80.5464,25.66,91,100,15.99,RU,1666472160
Vila Velha,-20.3297,-40.2925,78.75,84,20,14.97,BR,1666472308
Fortuna,40.5982,-124.1573,61.93,65,75,14.97,US,1666472235
Dusetos,55.75,25.85,42.19,89,100,4.0,LT,1666472309
Kavaratti,10.5669,72.642,81.27,78,15,5.17,IN,1666472309
Venice,27.0998,-82.4543,82.98,57,0,1.01,US,1666472310
Kostryzhivka,48.6545,25.7132,53.91,76,100,3.71,UA,1666472311
Weihe,32.9952,105.3247,55.08,71,68,3.04,CN,1666472311
Chokurdakh,70.6333,147.9167,13.68,95,100,11.01,RU,1666472312
Elk Plain,47.0532,-122.3976,52.72,85,100,1.01,US,1666472312
Aurillac,44.9167,2.45,58.08,77,76,9.22,FR,1666472312
Brody,50.0879,25.1503,49.93,95,100,9.08,UA,1666472313
Teya,60.3778,92.6267,40.26,98,100,2.71,RU,1666472313
Igrim,63.1906,64.4162,31.53,67,85,10.56,RU,1666472314
Charyshskoye,51.3978,83.5598,54.43,41,94,13.85,RU,1666472314
Slovenske Konjice,46.3367,15.4258,55.2,92,68,3.85,SI,1666472314
Jieshi,22.8134,115.8257,75.7,80,89,9.86,CN,1666472315
Meulaboh,4.1363,96.1285,75.15,86,99,5.64,ID,1666472315
Klaksvík,62.2266,-6.589,43.72,79,100,17.45,FO,1666472316
Pevek,69.7008,170.3133,19.47,96,100,7.78,RU,1666472316
Kloulklubed,7.0419,134.2556,83.05,74,97,6.11,PW,1666472318
High Level,58.5169,-117.136,32.11,100,100,9.22,CA,1666472107
Cabo San Lucas,22.8909,-109.9124,89.62,70,97,11.97,MX,1666472144
Nagrām,26.6167,81.1333,71.65,67,0,4.36,IN,1666472318
Ameca,20.55,-104.0333,74.12,64,100,2.3,MX,1666472319
Palamós,41.8484,3.1291,72.01,51,100,9.55,ES,1666472319
Predivinsk,57.0669,93.4378,45.3,85,100,5.28,RU,1666472319
Gogrial,8.5332,28.1004,74.34,83,37,2.24,SS,1666472320
Piaçabuçu,-10.4056,-36.4344,77.41,80,97,12.8,BR,1666472320
Plettenberg Bay,-34.0527,23.3716,62.56,91,7,5.88,ZA,1666472321
Norman Wells,65.282,-126.8329,23.04,86,75,0.0,CA,1666472321
Görele,41.0308,39.0031,53.44,75,0,5.17,TR,1666472322
Katsuura,35.1333,140.3,68.56,79,12,14.0,JP,1666472322
Nemuro,43.3236,145.575,52.79,76,0,16.82,JP,1666472323
Shenjiamen,29.9576,122.298,67.41,82,33,17.22,CN,1666472323
Abu Samrah,35.3029,37.1841,66.07,62,0,5.66,SY,1666472323
Ulladulla,-35.35,150.4667,63.5,95,100,7.58,AU,1666472324
Raudeberg,61.9875,5.1352,46.87,13,100,13.47,NO,1666472324
Basco,20.4487,121.9702,81.82,83,98,8.88,PH,1666472324
Søndersø,55.4853,10.2554,56.59,91,100,11.45,DK,1666472325
King City,36.2127,-121.126,70.92,38,100,15.17,US,1666472152
Lorengau,-2.0226,147.2712,81.95,64,92,4.38,PG,1666472325
Aného,6.2333,1.6,82.6,82,46,8.1,TG,1666472326
Elizabeth City,36.2946,-76.2511,68.02,73,100,9.95,US,1666472326
Ribeira Grande,38.5167,-28.7,66.6,63,20,13.8,PT,1666472326
Sakakah,29.9697,40.2064,78.37,34,7,7.09,SA,1666472327
São José da Coroa Grande,-8.8978,-35.1478,77.25,81,18,10.65,BR,1666472327
Xining,36.6167,101.7667,45.28,64,100,1.41,CN,1666472327
Port Pirie,-33.1833,138.0167,59.09,93,100,11.23,AU,1666472328
Ekhabi,53.5102,142.9671,27.86,72,69,2.46,RU,1666472328
Sidi Ali,36.0998,0.4206,79.88,28,6,10.51,DZ,1666472329
Oeiras,-7.0253,-42.1311,94.53,24,65,7.38,BR,1666472329
Eyl,7.9803,49.8164,77.99,84,46,5.82,SO,1666472329
Verāval,20.9,70.3667,80.53,53,0,9.53,IN,1666472330
Denham Springs,30.4869,-90.9562,82.89,49,23,7.0,US,1666472330
Korla,41.7597,86.1469,49.23,40,0,3.24,CN,1666472331
Kuril'sk,45.2333,147.8833,51.26,87,42,14.7,RU,1666472331
Nabire,-3.3667,135.4833,73.38,91,73,4.0,ID,1666472105
Kruisfontein,-34.0033,24.7314,63.88,94,2,4.21,ZA,1666472332
Vardø,70.3705,31.1107,35.58,87,75,17.27,NO,1666472332
San Cristobal,7.7669,-72.225,75.38,72,97,1.5,VE,1666472181
Lüderitz,-26.6481,15.1594,60.55,77,1,17.49,NA,1666472333
Mets Masrik,40.2183,45.7681,38.37,94,100,5.59,AM,1666472333
Beloha,-25.1667,45.05,69.78,82,3,3.56,MG,1666472333
Evanston,42.0411,-87.6901,81.41,43,4,1.99,US,1666472246
Gainesville,29.6516,-82.3248,76.78,51,0,6.22,US,1666472195
Ganzhou,28.8184,115.4327,64.49,52,10,6.2,CN,1666472334
Codrington,-38.2667,141.9667,54.93,91,100,17.25,AU,1666472334
Talnakh,69.4865,88.3972,29.21,96,96,7.52,RU,1666472335
Mehamn,71.0357,27.8492,35.55,87,96,17.27,NO,1666472335
Green Valley,31.8543,-110.9937,87.44,43,71,5.99,US,1666472335
Nome,64.5011,-165.4064,37.47,82,75,4.61,US,1666472336
Mudanya,40.3753,28.8822,58.03,42,2,2.91,TR,1666472235
Bloemfontein,-29.1211,26.214,63.88,68,90,12.66,ZA,1666472336
Mersing,2.4312,103.8405,75.11,94,40,8.05,MY,1666472337
Hofn,64.2539,-15.2082,37.24,74,99,8.68,IS,1666472063
Nhulunbuy,-12.2333,136.7667,82.87,78,69,8.55,AU,1666472115
Haapiti,-17.5667,-149.8667,77.77,76,5,13.06,PF,1666472337
Kisangani,0.5167,25.2,71.31,94,100,2.55,CD,1666472338
Fort Nelson,58.8053,-122.7002,29.79,80,100,8.05,CA,1666472101
Vanimo,-2.6741,141.3028,77.29,87,58,1.63,PG,1666472338
Nur-Sultan,51.1801,71.446,34.56,80,100,25.26,KZ,1666472339
Ust-Nera,64.5667,143.2,-3.87,99,100,3.69,RU,1666472339
Tessalit,20.1986,1.0114,80.04,17,100,13.13,ML,1666472339
Clyde River,70.4692,-68.5914,23.23,93,100,6.91,CA,1666472340
La Orilla,17.9833,-102.2333,83.08,70,100,6.13,MX,1666472340
Uravakonda,14.95,77.2667,68.32,79,61,6.58,IN,1666472340
Luangwa,-15.6167,30.4167,79.45,40,23,3.33,ZM,1666472341
Touros,-5.1989,-35.4608,78.37,75,30,13.71,BR,1666472341
Takelsa,36.7833,10.6333,74.14,75,70,16.42,TN,1666472341
Dosso,13.049,3.1937,84.2,20,6,6.69,NE,1666472342
Kisiwani,-4.1333,37.95,70.2,85,90,4.5,TZ,1666472343
Alofi,-19.0595,-169.9187,78.69,83,75,1.14,NU,1666472343
Lashio,22.9333,97.75,63.7,93,56,1.86,MM,1666472343
Broome,42.2506,-75.833,69.6,36,0,5.53,US,1666472075
Naryan-Mar,67.6713,53.087,31.35,96,97,12.12,RU,1666472344
Auki,-8.7676,160.7034,77.23,81,100,3.06,SB,1666472344
La Ciotat,43.1748,5.6045,70.56,93,15,8.72,FR,1666472344
Saint Paul Harbor,57.79,-152.4072,44.11,76,100,9.22,US,1666472154
Gumdag,39.2061,54.5906,56.39,63,100,11.23,TM,1666472345
Porto-Novo,6.4965,2.6036,82.22,90,72,5.01,BJ,1666472062
Richards Bay,-28.783,32.0377,66.06,89,100,13.65,ZA,1666472346
Marovoay,-16.1,46.6333,72.27,73,0,4.16,MG,1666472346
Algiers,36.7525,3.042,69.62,78,0,4.61,DZ,1666472346
Soanierana Ivongo,-16.9167,49.5833,67.5,92,10,3.6,MG,1666472347
Almaznyy,48.0448,40.045,41.23,77,100,6.35,RU,1666472347
Kathu,7.9178,98.3332,83.75,88,98,3.85,TH,1666472348
Comodoro Rivadavia,-45.8667,-67.5,76.86,6,0,14.97,AR,1666472239
Boa Vista,2.8197,-60.6733,93.18,46,40,6.91,BR,1666472348
Shetpe,44.1667,52.1167,44.42,71,92,2.3,KZ,1666472349
Noumea,-22.2763,166.4572,78.01,99,100,15.37,NC,1666472349
Nanortalik,60.1432,-45.2371,37.96,83,100,3.8,GL,1666472349
Aksu,41.1231,80.2644,51.08,37,0,2.08,CN,1666472350
Kumbhrāj,24.3667,77.05,69.17,51,0,5.32,IN,1666472350
‘Āhuimanu,21.4447,-157.8378,82.85,76,70,5.99,US,1666472350
Kushiro,42.975,144.3747,49.44,71,0,12.44,JP,1666472169
Rocha,-34.4833,-54.3333,56.89,98,87,6.11,UY,1666472351
Dewas,22.9667,76.0667,62.78,55,0,2.57,IN,1666472345
Charlottesville,38.0293,-78.4767,73.42,35,30,1.99,US,1666472156
Torbay,47.6666,-52.7314,54.75,78,20,10.36,CA,1666472352
Hastings,50.8552,0.5729,62.29,92,100,10.04,GB,1666472218
San Vicente,-26.6167,-54.1333,68.74,71,6,6.02,AR,1666472352
Rzhishchëv,49.9689,31.0463,47.79,90,100,10.25,UA,1666472353
Tando Jam,25.4272,68.5362,80.89,25,0,7.83,PK,1666472353
Beringovskiy,63.05,179.3167,28.18,85,100,9.22,RU,1666472354
Grindavik,63.8424,-22.4338,39.67,87,100,9.22,IS,1666472242
Tasiilaq,65.6145,-37.6368,28.38,97,100,13.22,GL,1666472347
Palana,59.1167,159.9667,19.45,74,97,4.38,RU,1666472354
Waiuku,-37.25,174.75,63.09,43,0,2.3,NZ,1666472355
City of San Pedro,14.35,121.0167,80.31,86,20,3.44,PH,1666472355
Asău,46.4333,26.4,52.72,62,100,5.48,RO,1666472356
Catuday,16.2923,119.8062,79.21,82,100,4.45,PH,1666472356
Najrān,17.4924,44.1277,68.65,19,2,3.36,SA,1666472181
Dakar,14.6937,-17.4441,82.53,83,0,2.3,SN,1666472357
Santa Isabel Rio Negro,-0.4139,-65.0192,84.87,68,99,4.68,BR,1666472358
Nicoya,10.1483,-85.452,82.62,78,93,3.2,CR,1666472358
Morondava,-20.2833,44.2833,77.4,80,3,10.04,MG,1666472359
Mossamedes,-15.1961,12.1522,69.17,81,41,2.06,AO,1666472359
Laiyang,36.9758,120.7136,49.12,68,0,4.36,CN,1666472359
Urusha,54.05,122.9,23.22,82,14,3.4,RU,1666472360
Tartous,34.889,35.8866,73.09,54,0,5.19,SY,1666472361
San Patricio,28.017,-97.5169,88.54,46,0,19.01,US,1666472073
Maragogi,-9.0122,-35.2225,76.98,82,21,9.98,BR,1666472361
Dothan,31.2232,-85.3905,77.85,31,0,1.99,US,1666472119
Tirumullaivāsal,11.2333,79.8333,78.94,82,100,7.58,IN,1666472362
Dahuk,36.8695,42.994,62.62,68,98,4.29,IQ,1666472362
Waddān,29.1614,16.139,67.05,51,0,12.39,LY,1666472362
Arman',59.7,150.1667,14.68,65,100,8.5,RU,1666472363
Ushumun,52.7833,126.5333,25.05,80,5,6.6,RU,1666472363
Vestmannaeyjar,63.4427,-20.2734,43.66,81,100,17.72,IS,1666472364
Mitzic,0.7821,11.549,69.98,98,100,3.06,GA,1666472364
Bengkulu,-3.8004,102.2655,76.37,82,100,3.42,ID,1666472365
Bulawayo,-20.15,28.5833,72.12,32,8,14.18,ZW,1666472365
Sitka,57.0531,-135.33,47.97,65,5,1.12,US,1666472366
Kanepi,57.982,26.7627,39.2,91,100,4.65,EE,1666472366
Nehoiu,45.4167,26.3,56.5,52,100,3.74,RO,1666472367
Bartica,6.4,-58.6167,84.52,87,94,4.12,GY,1666472367
Maşyāf,35.0653,36.3406,63.88,48,0,3.91,SY,1666472368
Río Gallegos,-51.6226,-69.2181,60.85,25,40,6.91,AR,1666472368
Sambava,-14.2667,50.1667,69.84,91,50,7.29,MG,1666472369
Berlevåg,70.8578,29.0864,35.6,80,75,12.66,NO,1666472369
Neftçala,39.3742,49.2472,59.65,77,100,14.25,AZ,1666472369
Todos Santos,23.45,-110.2167,91.31,76,71,10.85,MX,1666472370
Caravelas,-17.7125,-39.2481,76.23,81,100,10.87,BR,1666472370
Salinópolis,-0.6136,-47.3561,81.64,77,10,14.23,BR,1666472371
Vostok,46.4856,135.8833,23.95,90,80,2.91,RU,1666472371
Campbell River,50.0163,-125.2446,57.6,38,20,9.22,CA,1666472127
Pisco,-13.7,-76.2167,69.85,60,0,13.8,PE,1666472372
Graciano Sánchez,23.9167,-99.2833,83.25,55,35,7.4,MX,1666472372
Nogliki,51.8333,143.1667,28.33,66,46,7.4,RU,1666472372
St. George's,12.0564,-61.7485,87.48,70,20,16.11,GD,1666472279
Kungurtug,50.5994,97.5228,31.95,59,40,2.98,RU,1666472373
Bonthe,7.5264,-12.505,78.15,85,65,4.68,SL,1666472374
Bereda,43.2686,-7.5406,58.41,88,99,8.21,ES,1666472374
Lakatoro,-16.0999,167.4164,78.64,81,100,13.8,VU,1666472375
Puerto Cabezas,14.0351,-83.3888,84.16,79,75,13.8,NI,1666472375
Aquiraz,-3.9014,-38.3911,82.49,77,79,13.89,BR,1666472376
Château-Thierry,49.05,3.4,63.0,85,100,6.71,FR,1666472376
Provideniya,64.3833,-173.3,32.02,98,100,5.46,RU,1666472377
Aktau,43.65,51.2,49.23,60,61,3.31,KZ,1666472377
Marawi,7.9986,124.2928,68.49,95,100,0.18,PH,1666472377
Ürümqi,43.801,87.6005,43.75,71,0,2.24,CN,1666472378
Dibulla,11.2725,-73.3091,82.54,81,77,6.08,CO,1666472378
Nyurba,63.2842,118.3319,16.36,98,90,3.2,RU,1666472379
Itō,34.9667,139.0833,60.67,87,35,6.96,JP,1666472379
Hearst,49.6835,-83.6665,48.45,95,100,3.09,CA,1666472380
Ugoofaaru,5.6667,73.0,80.85,82,99,14.2,MV,1666472381
Turukhansk,65.8167,87.9833,25.07,94,100,11.23,RU,1666472381
Esim,4.8699,-2.2405,78.03,86,100,5.99,GH,1666472382
Dalvik,65.9702,-18.5286,24.73,69,76,8.7,IS,1666472382
Jega,12.2175,4.3792,82.42,28,3,5.7,NG,1666472382
Itoman,26.1247,127.6694,78.82,89,100,13.8,JP,1666472383
Vilhena,-12.7406,-60.1458,84.42,61,75,8.05,BR,1666472140
Tarakan,3.3,117.6333,79.23,82,100,4.85,ID,1666472383
Pochutla,15.7432,-96.4661,87.82,75,80,4.38,MX,1666472384
Coyhaique,-45.5752,-72.0662,60.75,20,0,10.36,CL,1666472384
Rebrikha,53.0733,82.3408,59.22,36,100,24.87,RU,1666472384
Kiryat Gat,31.61,34.7642,70.48,100,0,4.92,IL,1666472385
Barcelos,41.5388,-8.6151,60.94,81,99,15.01,PT,1666472269
Tabat,-2.635,115.2274,72.63,98,38,1.19,ID,1666472385
Vila Franca do Campo,37.7167,-25.4333,64.81,76,78,16.87,PT,1666472386
Slonim,53.0867,25.3219,46.63,88,100,4.23,BY,1666472386
Opuwo,-18.0607,13.84,77.02,35,65,3.15,NA,1666472386
Pingliang,35.5392,106.6861,51.08,71,92,1.7,CN,1666472387
Kerman,30.2832,57.0788,53.46,26,0,6.91,IR,1666472388
Pasil,17.3833,121.1333,65.77,97,100,0.89,PH,1666472388
Cascais,38.6979,-9.4215,65.93,94,100,21.0,PT,1666472330
Paamiut,61.994,-49.6678,36.95,94,100,23.26,GL,1666472389
